row,col,deg,state,res
2,10,149,0,-1
1,9,51,0,-1
1,11,153,0,-1
1,18,14,0,-1
2,14,135,1,-1
2,11,36,0,-1
2,14,26,0,-1
1,8,153,0,-1
1,11,26,0,-1
2,8,128,0,1
1,4,128,0,-1
2,17,51,0,-1
2,0,128,0,-1
2,11,45,2,-1
1,10,36,0,-1
2,8,36,0,-1
2,5,36,0,-1
2,2,36,0,-1
2,7,153,0,-1
1,4,26,0,-1
2,4,143,0,-1
1,14,165,0,-1
2,17,14,0,-1
2,0,165,0,-1
1,15,165,0,-1
1,12,14,0,-1
1,7,165,0,-1
2,12,36,0,-1
1,0,45,2,-1
1,18,128,0,-1
1,2,51,0,-1
1,17,153,0,1
1,15,153,0,1
2,8,165,0,-1
2,17,26,0,-1
2,6,153,0,-1
2,18,135,0,-1
1,3,128,0,-1
1,17,51,0,-1
2,0,51,0,-1
2,16,128,0,-1
1,3,51,0,-1
2,12,128,0,-1
1,7,51,0,-1
2,8,128,0,-1
1,4,128,1,1
2,16,51,0,-1
2,0,128,1,-1
1,18,128,1,-1
1,1,51,0,-1
2,14,128,0,-1
2,6,51,0,-1
2,11,128,0,-1
1,8,51,0,-1
2,7,128,0,1
1,7,45,0,-1
1,18,36,0,-1
2,8,45,2,-1
1,4,135,1,1
1,5,128,0,1
2,2,135,2,1
1,12,135,0,-1
1,9,45,2,-1
2,10,51,0,-1
2,13,128,0,-1
2,11,26,0,-1
1,0,153,0,-1
2,14,26,1,-1
2,10,143,0,1
1,11,135,0,-1
1,14,45,3,-1
1,1,45,0,-1
2,0,51,1,-1
2,16,51,1,-1
2,0,128,2,1
2,4,165,0,-1
2,14,165,0,-1
1,15,135,0,-1
1,10,45,4,-1
1,1,135,1,-1
2,11,153,0,-1
2,14,45,1,-1
1,1,45,1,-1
1,7,153,0,-1
1,9,51,1,-1
1,12,135,1,1
2,0,143,0,-1
2,4,165,1,-1
1,8,14,0,-1
1,2,165,0,-1
2,13,14,0,-1
1,10,14,0,-1
1,3,165,0,-1
1,10,14,1,-1
1,5,153,0,-1
1,5,51,0,-1
2,17,51,1,-1
2,3,128,0,-1
2,4,153,0,-1
2,16,165,0,-1
1,10,165,0,-1
2,17,165,0,-1
2,13,45,1,-1
1,0,45,3,1
1,11,135,1,1
2,4,153,1,-1
1,16,14,0,-1
2,5,165,0,-1
2,5,51,0,-1
2,9,51,0,-1
2,10,153,0,-1
2,15,45,0,-1
2,6,51,1,-1
2,11,143,0,1
1,16,14,1,-1
1,10,165,1,-1
2,11,45,3,-1
1,10,51,0,-1
1,7,153,1,-1
1,4,165,0,-1
2,8,51,0,-1
1,13,143,0,1
1,9,51,2,-1
2,10,128,0,-1
1,2,128,0,-1
1,5,165,0,-1
2,6,45,0,-1
1,14,45,4,-1
1,14,14,0,-1
1,14,153,0,-1
1,6,165,0,-1
1,2,36,0,-1
2,10,45,1,-1
1,12,26,0,-1
1,10,143,0,1
1,4,165,1,-1
1,10,14,2,1
2,11,51,0,-1
2,1,165,0,-1
1,13,26,0,-1
1,6,135,0,-1
1,7,153,2,-1
2,13,26,0,-1
2,0,14,0,-1
1,4,51,0,-1
2,17,128,0,-1
2,6,45,1,-1
2,12,128,1,-1
1,9,14,0,-1
2,1,14,0,-1
1,9,26,0,-1
2,5,143,0,-1
2,15,143,0,-1
2,15,45,1,-1
1,6,51,0,-1
1,11,165,0,-1
2,6,165,0,-1
2,14,14,0,-1
2,0,14,1,-1
1,6,51,1,-1
2,17,128,1,-1
2,8,26,0,-1
2,5,135,0,1
2,4,128,0,1
2,4,14,0,-1
2,2,36,1,-1
2,0,143,1,-1
2,14,165,1,-1
2,17,128,2,-1
1,9,45,3,-1
1,5,165,1,-1
2,11,26,1,-1
1,13,36,0,-1
2,2,36,2,-1
1,18,128,2,-1
1,3,14,0,1
2,1,45,0,-1
1,7,165,1,-1
1,12,36,0,-1
1,2,36,1,-1
2,6,165,1,-1
1,10,51,1,-1
1,6,128,0,1
1,13,51,0,-1
1,2,143,0,-1
1,5,143,0,-1
1,18,128,3,-1
1,6,26,0,-1
2,6,165,2,-1
2,7,165,0,-1
2,10,36,0,-1
2,8,26,1,-1
2,13,14,1,-1
1,3,165,1,-1
2,1,45,1,-1
1,17,143,0,-1
1,13,45,1,-1
1,9,26,1,-1
2,17,45,1,-1
2,5,45,0,-1
1,17,45,0,-1
2,6,45,2,-1
1,6,135,1,1
1,5,165,2,-1
1,3,128,1,1
1,5,36,0,-1
1,11,36,0,-1
1,1,51,1,-1
2,14,165,2,-1
2,18,51,0,-1
1,0,51,0,-1
1,8,143,0,-1
2,14,135,2,1
1,2,14,0,1
1,0,51,1,-1
2,13,135,2,1
1,3,135,2,1
2,11,165,0,-1
2,18,26,0,-1
1,9,143,0,1
1,13,36,1,-1
2,2,45,1,-1
2,11,165,1,-1
2,12,165,0,-1
1,17,165,0,-1
1,16,153,0,1
2,14,45,2,-1
1,1,45,2,-1
1,8,51,1,-1
1,15,51,0,-1
2,12,26,0,-1
1,3,153,0,-1
1,1,135,2,1
1,14,153,1,1
2,11,165,2,-1
1,16,36,0,-1
2,10,14,0,-1
1,0,165,0,-1
1,3,143,0,-1
1,16,51,0,-1
2,15,26,0,-1
2,2,165,0,-1
2,12,165,1,-1
2,14,51,0,-1
2,17,51,2,-1
2,-1,51,0,-1
1,9,36,0,-1
1,5,45,2,-1
1,13,128,0,-1
1,0,128,0,-1
2,4,165,2,-1
1,11,45,1,-1
1,14,14,1,-1
2,13,153,0,1
1,14,51,0,-1
2,14,153,0,1
2,-1,26,0,1
2,2,153,0,-1
2,4,36,0,-1
2,11,45,4,-1
2,10,36,1,-1
1,2,143,1,-1
1,15,51,1,-1
1,8,51,2,-1
1,17,165,1,-1
2,19,135,0,-1
2,3,153,0,-1
2,12,14,0,-1
1,6,135,1,-1
2,12,45,1,-1
1,10,45,5,-1
1,8,51,3,-1
1,18,14,1,-1
1,17,36,0,-1
2,5,128,0,1
2,3,143,0,-1
2,11,165,3,-1
1,11,14,0,-1
1,9,36,1,-1
2,1,143,0,-1
1,18,26,0,1
2,12,165,2,-1
2,11,165,4,-1
2,7,36,0,-1
1,18,165,0,-1
1,17,45,1,-1
1,8,128,0,1
2,0,14,2,1
2,7,51,0,-1
1,11,143,0,1
2,14,143,0,-1
2,15,165,0,-1
2,17,45,2,-1
2,5,45,1,-1
1,14,165,1,-1
2,11,45,5,-1
1,9,45,4,-1
2,1,135,2,1
1,15,135,1,-1
2,11,45,6,-1
2,5,165,1,-1
2,12,45,2,-1
1,12,14,1,-1
2,2,165,1,-1
2,8,45,3,-1
1,13,45,2,-1
2,12,26,1,-1
2,9,128,0,-1
2,14,26,2,-1
1,4,165,2,-1
2,5,51,1,-1
2,15,135,2,-1
2,11,26,2,-1
1,10,128,0,-1
1,5,36,1,-1
2,1,14,1,-1
2,3,51,0,-1
1,16,143,0,-1
1,1,14,0,1
2,15,143,1,1
2,12,51,0,-1
2,0,26,0,-1
1,12,26,1,-1
2,14,45,3,-1
1,1,45,3,-1
2,11,51,1,-1
1,13,45,3,-1
2,13,14,2,1
2,12,51,1,-1
1,13,45,4,-1
2,8,45,4,-1
2,15,36,0,-1
2,9,36,0,-1
1,4,36,0,-1
2,2,36,3,-1
1,1,143,0,-1
1,6,14,0,-1
1,7,153,3,1
2,6,26,0,-1
2,4,143,1,-1
2,9,128,1,1
2,5,36,1,-1
1,16,14,2,-1
1,11,153,1,-1
2,10,45,2,-1
2,11,51,2,-1
2,2,165,2,-1
1,12,14,2,-1
2,14,36,0,-1
2,8,14,0,1
2,3,26,0,-1
2,2,14,0,-1
2,15,153,0,1
2,3,14,0,-1
1,11,165,1,-1
2,10,36,2,-1
2,6,36,0,-1
2,13,26,1,-1
2,9,45,2,-1
1,8,14,1,1
1,11,51,0,-1
1,4,165,3,1
1,11,36,1,-1
2,13,128,1,-1
1,6,51,2,-1
2,18,135,1,-1
2,7,45,0,-1
2,1,153,0,-1
1,10,26,0,-1
2,1,165,1,-1
2,15,14,0,-1
2,17,36,0,-1
2,2,36,4,-1
1,12,45,1,-1
2,3,128,1,1
2,7,143,0,-1
1,14,143,0,-1
2,17,128,3,-1
2,14,14,1,-1
1,3,165,2,1
1,6,14,1,1
1,8,36,0,-1
2,6,36,1,-1
2,3,36,0,-1
2,6,128,0,1
1,2,26,0,-1
1,12,51,0,-1
1,15,51,2,-1
1,1,128,0,-1
2,11,128,1,-1
2,9,51,1,-1
2,12,51,2,-1
1,14,51,1,-1
2,2,128,0,-1
2,8,135,0,1
2,16,45,0,-1
1,3,45,1,-1
1,10,45,6,-1
2,10,45,3,-1
1,10,45,7,1
1,6,143,0,-1
2,16,128,1,-1
2,9,14,0,1
2,1,26,0,-1
2,15,26,1,-1
1,13,128,1,-1
2,7,51,1,-1
1,10,128,1,1
2,10,51,1,-1
2,13,51,0,-1
1,16,51,1,-1
2,6,143,0,-1
1,15,128,0,-1
1,8,165,0,-1
2,12,45,3,-1
2,10,45,4,-1
2,12,45,4,-1
1,9,45,5,-1
1,12,45,2,-1
2,4,165,3,-1
2,6,51,2,-1
1,16,135,1,-1
1,9,45,6,-1
1,2,135,0,-1
2,12,45,5,-1
2,0,45,3,1
1,13,135,2,1
2,13,45,2,-1
1,6,153,0,-1
1,7,26,0,-1
1,6,143,1,-1
2,1,165,2,-1
2,11,128,2,1
2,6,14,0,1
2,5,45,2,-1
1,17,36,1,-1
1,2,143,2,-1
1,6,143,2,1
2,15,143,1,-1
1,17,36,2,-1
1,5,14,0,1
1,7,165,2,-1
2,14,14,2,1
1,11,14,1,-1
1,5,165,3,1
1,9,26,2,-1
2,12,14,1,-1
1,11,128,0,-1
1,12,14,3,1
1,7,143,0,-1
2,11,45,7,1
1,3,143,1,-1
2,5,143,1,1
2,14,143,1,1
2,18,143,0,-1
1,15,36,0,-1
1,11,36,2,-1
1,14,51,2,-1
1,2,165,1,-1
2,8,26,2,-1
1,13,165,0,-1
1,7,45,1,-1
2,3,135,0,-1
2,10,45,5,-1
1,2,135,1,-1
1,11,45,2,-1
2,12,135,0,-1
1,12,45,3,-1
2,1,45,2,-1
2,0,153,0,-1
1,4,51,1,-1
1,18,45,2,-1
2,14,51,1,-1
1,8,45,1,-1
1,15,135,2,1
1,8,36,1,-1
1,5,36,2,-1
2,3,36,1,-1
1,1,143,1,-1
2,3,143,1,-1
2,10,45,6,-1
1,11,36,3,-1
1,2,36,2,-1
1,12,36,1,-1
1,0,51,2,1
1,10,165,2,-1
2,19,45,0,-1
1,19,45,0,-1
1,19,45,1,-1
1,19,45,2,-1
1,19,45,3,-1
1,19,45,4,-1
1,19,45,5,-1
1,19,45,6,-1
1,19,45,7,1
1,6,165,1,-1
2,1,153,1,-1
1,10,26,1,-1
2,7,153,1,-1
1,2,45,1,-1
1,17,165,2,-1
2,17,143,0,-1
1,4,143,0,-1
1,10,165,3,-1
1,16,14,3,-1
1,11,153,2,1
2,9,26,0,-1
2,0,165,1,-1
2,7,36,1,-1
1,8,36,2,-1
2,3,135,1,1
2,4,165,4,1
2,17,165,1,-1
2,6,165,3,-1
2,16,165,1,-1
1,15,128,1,-1
1,5,51,1,-1
1,17,135,0,-1
2,10,45,7,1
1,16,135,2,1
1,9,45,7,1
1,2,135,2,1
2,12,45,6,-1
1,12,45,4,-1
2,11,135,1,1
2,14,45,4,-1
1,1,45,4,1
2,10,26,0,-1
2,-1,51,1,-1
2,-1,51,2,-1
2,-1,51,3,-1
2,-1,51,4,-1
2,-1,51,5,-1
1,-1,51,0,1
2,2,165,3,1
1,8,36,3,-1
2,0,36,0,-1
2,3,165,0,-1
2,6,26,1,-1
1,1,143,2,-1
2,10,128,1,1
1,8,51,4,-1
2,12,14,2,1
1,2,143,3,1
2,16,135,2,-1
2,6,36,2,-1
1,1,143,3,1
1,17,36,3,1
2,5,153,0,-1
2,8,26,3,-1
1,9,51,3,-1
2,13,51,1,-1
1,15,51,3,-1
2,1,128,0,-1
1,16,45,1,-1
1,4,45,0,-1
1,18,45,3,-1
2,7,45,1,-1
2,4,135,0,-1
2,7,143,1,1
1,10,36,1,-1
1,5,26,0,-1
1,8,143,1,1
2,14,128,1,-1
1,2,36,3,-1
1,0,143,0,-1
2,2,143,0,-1
2,17,143,1,-1
1,15,36,1,-1
1,12,36,2,-1
1,8,36,4,-1
1,5,36,3,-1
1,2,36,4,-1
2,0,36,1,-1
1,15,45,0,-1
1,3,45,2,-1
1,16,45,2,-1
1,4,45,1,-1
2,18,135,2,-1
2,7,45,2,-1
1,7,165,3,-1
1,11,26,1,-1
1,6,165,2,-1
1,10,26,2,-1
2,16,51,2,-1
2,10,36,3,-1
2,13,26,2,-1
2,4,14,1,1
2,2,45,2,-1
